Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба жб,8500,https://www.avito.ru/tambov/remont_i_stroitelstvo/truba_zhb_3467705520,"Продается труба жб длина 5 м, диаметр 48см. Торг.",131,вчера в 21:23,Частное лицо,"Тамбовская область, Тамбов"
Профильная труба 100х50х3,500,https://www.avito.ru/engels/remont_i_stroitelstvo/profilnaya_truba_100h50h3_3231960087,"Продам проф трубу 100х50х3 (стенка 3). Не б/у, на фото труба как она есть. Есть 8 хл по 3 м. Цена 500 р за метр.",2722,вчера в 21:22,Частное лицо,"Саратовская область, Энгельсский р-н, Красноярское муниципальное образование"
Металлические трубы,700,https://www.avito.ru/danilovka/remont_i_stroitelstvo/metallicheskie_truby_3494362986,"Продаются 8 труб, длина 3 метра, диаметр-2,5 дюйма.",80,вчера в 21:17,Частное лицо,"Волгоградская область, Даниловский р-н, городское поселение Даниловка, рабочий пос. Даниловка"
Труба толстостенная,105,https://www.avito.ru/hanty-mansiysk/remont_i_stroitelstvo/truba_tolstostennaya_3326839765,"Скупаю запорную арматуру задвижки, отводы, переходы, фланцы, и т. Д куплю запорную арматуру абсолютно разную бу и новую ждем ваших предложений будем рады с вами сотрудничать Закупаем на постоянной основе остатки, запасы, неликвиды (б/у, с хранения, лежалые) за наличный и безналичный расчет: 1. Запорную арматуру(задвижки, клапана, краны шаровые, вентиля и т. Д.) Любую продукцию Danfoss-Данфосс Счетчик-Жидкости, Гсм, Нефтепродуктов 2. Электродвигатели промышленные и крановые 3. Металлопрокат (круг, квадрат, паковка, уголок, швеллер, балка и т. Д.) 4. Трубопрокат (трубу, трубу толстостенную и т. Д.) 5. Кабельную и проводную продукцию (кабель, кабель силовой, провода и т. Д.) 6. Подшипники 7. Трансформаторы (силовые масляные, сухие, любой мощности, в т. Ч. Нерабочие и некомплектные) 8. Редукторы (червячные, цилиндрические, планетарные, конические, мотор-редукторы) 9. Транспортерную ленту 10. Шайбу магнитную 11. Грузоподъемное оборудование Лебедки, телефера, муфты, кран-балки, и т. Д 12. Насосы Центробежные/консольные/вакуумные и т. Д 13. Выключатели автоматические масляные вакуумные, реле, пускатели, контакторы, 14. Привода Тульские ВА, ВБ, МН, На, и т. Д Также Привода Мэо, Мэоф, и т. Д 15. И многое другое отправляйте предложение все оборудование что у вас есть любые предложения! Цены адекватные не думайте сразу же отправляйте ваше предложение мы с вами найдем общий язык.",26,вчера в 21:08,Частное лицо,"Тюменская область, Ханты-Мансийск"
Труба стальная б/у,6000,https://www.avito.ru/diveevo/remont_i_stroitelstvo/truba_stalnaya_bu_3533886950,"Продается стальная труба б/у 220×5, длина 6 метров. Самовывоз. Звонить после 18:00.",4,вчера в 20:51,Частное лицо,"Нижегородская область, Дивеевский муниципальный округ, с. Глухово"
"Продам трубы, швеллер, листы. Разных диаметров",50,https://www.avito.ru/orsk/remont_i_stroitelstvo/prodam_truby_shveller_listy._raznyh_diametrov_3059028826?slocation=621540,"Продам лист, листы разных диаметров. Также в наличии трубы, швеллер, уголок. Колено. Разного диаметра. Возможна доставка. Все вопросы по телефону.",410,вчера в 20:37,Частное лицо,"Оренбургская область, Орск"
Труба металлическая 219х8 д 11м,45,https://www.avito.ru/ekaterinburg/remont_i_stroitelstvo/truba_metallicheskaya_219h8_d_11m_3369469297,"45 руб за килограмм труба длины 11 м дешевле не будет, а с ростом цен каждый месяц буду повышать цену.",26,вчера в 20:18,Частное лицо,"Свердловская область, Екатеринбург"
"Труба в канаву, прямошовная",32,https://www.avito.ru/novosibirsk/remont_i_stroitelstvo/truba_v_kanavu_pryamoshovnaya_2201999572,"Труба под дорогу, прямошовная диаметр 1020, толщина стенки 12 мм, длина 9,5 метра. Подробнее по телефону.",705,вчера в 20:16,Частное лицо,"Новосибирская область, Новосибирский р-н, Толмачёвский сельсовет"
Водосточная система колено трубы каскад и монтерей,100,https://www.avito.ru/astrahan/remont_i_stroitelstvo/vodostochnaya_sistema_koleno_truby_kaskad_i_monterey_2305584544,Колено трубы водосточной каскад и монтерей состояние новых немного в пыли.,1761,вчера в 20:15,Частное лицо,"Астраханская область, Астрахань"
Две трубы для забора или др нужд,4000,https://www.avito.ru/bobrov/remont_i_stroitelstvo/dve_truby_dlya_zabora_ili_dr_nuzhd_2549904681,"Две трубы по 263, диаметр 14. Очень тяжелые. Каждая по 4000. Торг уместен.",638,вчера в 19:16,Частное лицо,"Воронежская область, Бобровский р-н, городское поселение Город Бобров, Бобров"
Трубы металлические бу,120,https://www.avito.ru/ahtubinsk/remont_i_stroitelstvo/truby_metallicheskie_bu_3548894057,"Продаются металлические трубы разного диаметра и длины б/у. Диаметр 60 мм всего 100м, цена 140 р за погонный метр. Д- 50 мм-60 пог. Метра, цена 120р/м. Д-90мм, 12 пог. Метра, цена 220р/м(новая). Д-100 мм, всего 4 метра,220 р/м. Двутавр√12 (7,5пог. Метра-450р/м). Швеллер-140×70, 17 пог. /м- 400р/м. Трубы металлопластик б/у d-30, 90 пог. Метра.",88,вчера в 18:52,Частное лицо,"Астраханская область, Ахтубинский р-н, Ахтубинск"
Труба алюминиевая,3000,https://www.avito.ru/kovylkino/remont_i_stroitelstvo/truba_alyuminievaya_3407427163,"Труба алюминиевая диаметр 22 см, длина 2,6 метра. Еще есть труба длиной 4 метра. Цена за первую. Самовывоз.",120,вчера в 18:52,Частное лицо,"Республика Мордовия, Ковылкинский р-н, городское поселение Ковылкино, Ковылкино"
Продам трубы,50,https://www.avito.ru/leninsk-kuznetskiy/remont_i_stroitelstvo/prodam_truby_3571668895,"Продам трубы в хорошем состоянии, 50, 80, 100 по наличию уточняйте, стоимость 50 рублей 1 килограмм!",17,вчера в 18:51,Частное лицо,"Кемеровская область, Ленинск-Кузнецкий г.о., Ленинск-Кузнецкий"
Труба 720х9 820х9,47000,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_720h9_820h9_3906273787,Труба стальная восстановленая. 720х9 (47₽)и 820х9 (48₽). Хорошего качества. Фаска спк. Продажа от машины.,1,вчера в 18:49,Частное лицо,"Челябинская область, Челябинск"
Трубы металлические бу 426х9,56000,https://www.avito.ru/mihnevo/remont_i_stroitelstvo/truby_metallicheskie_bu_426h9_3367920112,"Трубы бу 426х9мм длинные, практически чистые снаружи.",1,вчера в 18:42,Частное лицо,"Московская область, г.о. Ступино, с. Семёновское"
Труба металлическая,1,https://www.avito.ru/orel/remont_i_stroitelstvo/truba_metallicheskaya_2240373961,"Диаметры 270, 426, 360, 400, 219, 159. Состояние новое, не б/у. Есть в изоляции.",3822,вчера в 18:34,Частное лицо,"Орловская область, Орёл"
Трубы асбестоцементные,300,https://www.avito.ru/novokuybyshevsk/remont_i_stroitelstvo/truby_asbestotsementnye_1933220965,"5 шт. Длина 190см по 300р за каждую трубу. Диаметр 10см внутри и 12 см снаружи.2 более короткие отдам в подарок. Самовывоз со Стромиловских дач, Волжский район. Между 116 км и Новокуйбышевском.7шт. Продано.",500,вчера в 18:31,Частное лицо,"Самарская область, Волжский р-н, СДПО Шар"
Газовые трубы,300,https://www.avito.ru/sochi/remont_i_stroitelstvo/gazovye_truby_3503185359,"Металлический газовый подвод 160 см — 300р, трубы для котла под вентиляцию 17, 29, 30, 34, 49, 50 и 50 см по 300р, переходник для котла 300р. Торг.",11,вчера в 18:25,Компания,"Краснодарский край, Сочи"
Водосточная система,5000,https://www.avito.ru/holmogory/remont_i_stroitelstvo/vodostochnaya_sistema_3494790379,Водосточная труба б/у диаметр 120мм всего 25 метров. Секции по 200 руб за штуку.,5,вчера в 18:17,Частное лицо,"Архангельская область, Холмогорский р-н, муниципальное образование Холмогорское, с. Холмогоры"
Продам стальные трубы,1300,https://www.avito.ru/miass/remont_i_stroitelstvo/prodam_stalnye_truby_3518358264,"Продам трубу 260р за погонный метр. Диаметр 57 мм, толщина 3-3,5 мм, длина одной трубы 5 м. Цена одной трубы 1300 рублей. В наличии: 9 труб. Торг уместен.",55,вчера в 18:13,Частное лицо,"Челябинская область, Миасский г.о., Миасс"
Профильная труба 200/300,45000,https://www.avito.ru/fryazino/remont_i_stroitelstvo/profilnaya_truba_200300_3391427223,"Продаю проф трубы, 200/300, 14 мм толщина, 7 штук, по 12 метров, не гнилые, 45000 р тонна новая идёт 8500 тыщь метр,",4,вчера в 18:12,Частное лицо,"Московская область, Фрязино"
Трубы металлические бу,35,https://www.avito.ru/ketovo/remont_i_stroitelstvo/truby_metallicheskie_bu_3059247828,Продам трубы металлические 6м.12м разных диаметров и толщины.,1995,вчера в 17:53,Частное лицо,"Курганская область, Кетовский муниципальный округ, с. Кетово"
Трубы,50000,https://www.avito.ru/korenovsk/remont_i_stroitelstvo/truby_2232267002,"Продам трубы алюминиевые диаметр 220 и одна 180, длина от 4 до 6 метров, цена за все 50 000, самовывоз, находятся в х. Пролетарском.",1451,вчера в 17:43,Частное лицо,"Краснодарский край, Кореновский р-н, Кореновск"
"Труба стальная и отводы бу 630,426",50000,https://www.avito.ru/sankt-peterburg/remont_i_stroitelstvo/truba_stalnaya_i_otvody_bu_630426_3572045317,"Продается труба ст. 630х8 -30м, 426х8-40м, отводы 426-6шт, 630-9шт, переход 630х426 -2шт 426х219- 2шт.",27,вчера в 17:21,Частное лицо,Санкт-Петербург
