Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба бу 530х10 б/у,5900,https://www.avito.ru/glazov/remont_i_stroitelstvo/truba_bu_530h10_bu_3431041310,"Труба б/у в очень хорошем состоянии, длинна 4 и 5 метров.",139,сегодня в 08:15,Частное лицо,"Удмуртская Республика, Глазов"
Труба 1220*12,80000,https://www.avito.ru/irkutsk/remont_i_stroitelstvo/truba_122012_1906282657,"Цена указана за тонну, наличка, работаем по б/н с ндс(85000 с ндс).",307,сегодня в 08:22,Частное лицо,"Иркутская область, Иркутск"
Труба металлическая диаметр 325,18000,https://www.avito.ru/bogorodsk/remont_i_stroitelstvo/truba_metallicheskaya_diametr_325_3218312748,#Труба для заезда #труба для канавы. #Труба под дорогу. Длинна 9м70см. Диаметр 325мм. Толщина 1см. Торг.,95,сегодня в 08:48,Частное лицо,"Нижегородская область, Богородский муниципальный округ, Богородск"
Труба стальная бу,6000,https://www.avito.ru/zelenodolsk/remont_i_stroitelstvo/truba_stalnaya_bu_3564270756,Труба стальная бу. Диаметр 530. Толщина 5. Длина 2.30м.,39,сегодня в 08:56,Частное лицо,"Республика Татарстан, Зеленодольский р-н, муниципальное образование Зеленодольск, Зеленодольск"
Труба 530х9,45,https://www.avito.ru/samara/remont_i_stroitelstvo/truba_530h9_3114073542,"Труба 530х9 б/у. 2штуки. Длина 11.28 и 7.5 метров. Общий вес 2200 кг. Вес метра 117 кг. Используется для изготовления понтона, печки, ёмкости и любых других нужд! Лежит на базе 22 Партсъезда, 8. 5265₽ за метр погонный ( или 45₽ за кг.). Если Вам нужен кусок, то можем отрезать, но цена будет 7605₽ за метр + 1000₽ рез.",260,сегодня в 09:02,Частное лицо,"Самарская область, Самара"
Трубы металлические бу,42000,https://www.avito.ru/kansk/remont_i_stroitelstvo/truby_metallicheskie_bu_3476203303?slocation=621540,"Продаем трубу 720 *12. Начали демонтаж. Труба с резервной ветки. Нал, безнал приветствуется (хороший дисконт в цене). 42 тыс цена с Ндс. Накопаем примерно 400 тонн.",252,сегодня в 09:18,Частное лицо,"Красноярский край, Канск"
Труба 426,0,https://www.avito.ru/tuymazy/remont_i_stroitelstvo/truba_426_2489129489,"Труба 426 в количестве 1 штуки длиной 2,87 метра. Обмен на трубы меньшего диаметра из расчета кг на кг. Интересуют любые строительные материалы на обмен.",1276,сегодня в 09:17,Частное лицо,"Республика Башкортостан, Туймазинский р-н, Туймазы"
Трубы металлические бу,60,https://www.avito.ru/bryansk/remont_i_stroitelstvo/truby_metallicheskie_bu_2486134587,"Труба 530, 426, 377, 325, 273, 219, 168мм стенка 7-10 мм Режу в размер от 1 метра. Цена указана за кг. Так же есть трубы для забора. 73 мм стенка 5,5 мм.",2960,сегодня в 09:55,Частное лицо,"Брянская область, г.о. Брянск"
Труба стальная 720 бу,44000,https://www.avito.ru/mosrentgen/remont_i_stroitelstvo/truba_stalnaya_720_bu_3539478418,Труба б/у 720*8 в хорошем состоянии. В наличии большой объем. Самовывоз или привезём к вам на объект.,3,сегодня в 09:43,Частное лицо,"Москва, Новомосковский административный округ, поселение Мосрентген"
Трубы бу,44000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truby_bu_3538770018,Трубы б/у 720x10. Хорошее состояние. В наличии большое количество. Самовывоз и доставка.,2,сегодня в 09:43,Частное лицо,Москва
Труба стальная 720 бу,44000,https://www.avito.ru/aprelevka/remont_i_stroitelstvo/truba_stalnaya_720_bu_3538754995,"Металлическая труба б/у 720х9 хорошего качества, вся длинная.",6,сегодня в 09:42,Частное лицо,"Московская область, Наро-Фоминский г.о., Апрелевка"
Трубы бу,44000,https://www.avito.ru/tula/remont_i_stroitelstvo/truby_bu_3538872540,"Б/у трубы 720*8. В хорошем состоянии. Самовывоз и доставка. Есть в наличии стенка 8,9,10.",47,сегодня в 09:42,Частное лицо,"Тульская область, Тула, СНТ Строитель Туласовхозстрой"
"Труба металлическая бу 325ст 8 цельнотянутая, 530",0,https://www.avito.ru/nizhniy_novgorod/remont_i_stroitelstvo/truba_metallicheskaya_bu_325st_8_tselnotyanutaya_530_3130361867,"325х8мм цельнотянутая, 9-11м, из под нефти, чистая, частично в изоляции 43 нал. Тонна. Объем 60 тонн. Продам трубу бу металлическую диаметр 530 стенка 8-10. Ваш демонтаж. Находится в шахтах элеватора. Объем 180 м. 18 тонн. Тонн. Находиться республика Коми, г. Сыктывкар.",407,сегодня в 10:13,Частное лицо,"Нижегородская область, Нижний Новгород, СНТ Строитель"
"Труба 820х9,5-11,0мм прямошовная и спиралешовная",0,https://www.avito.ru/marks/remont_i_stroitelstvo/truba_820h95-110mm_pryamoshovnaya_i_spiraleshovnaya_1551022829,"Продается Труба 820х9,5-10,5мм. Труба прямошовная, без поперечек. Сухая продутая нефтянка. Качество отличное, под восстановление. Отгрузка с Базы, не с поля.",737,сегодня в 10:30,Частное лицо,Саратовская область
Труба б/у 426х10,64000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_426h10_3561852498,Труба б/у 426х10мм Цена = 64 000с Ндс. В наличии 200тонн.,22,сегодня в 10:30,Частное лицо,Москва
Труба б/у 720х8-9мм,48500,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_720h8-9mm_3593848225,Распродаю со склада трубу б/у хорошего качества! Труба б/у 720х8-9мм=48 500 р/тн с Ндс. Труба б/у 720х10-11мм= 59 500 р/тн с Ндс.,9,сегодня в 10:30,Частное лицо,Москва
Труба б/у 530х8мм,58000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_530h8mm_3562256839,Труба б/у 530х8мм= 58 000р/тн с Ндс. В наличии 120тонн. Отгрузка на объект на следующий день!,-,-,no,Москва
"Труба 377,426 б/ш",90,https://www.avito.ru/sankt-peterburg/remont_i_stroitelstvo/truba_377426_bsh_2169924736,"В наличии. Труба лежалая б/ш. 426х7(8,9,10) длины 11+. 377х9 длина 11+. Так же работаем по безналу с ндс. Имеется резка и пескоструй!",101,сегодня в 10:26,Частное лицо,"Санкт-Петербург, Пушкинский р-н, пос. Шушары"
"Трубы б/у 530х7,8,9мм",56000,https://www.avito.ru/sankt-peterburg/remont_i_stroitelstvo/truby_bu_530h789mm_3538228731,"Трубы б/у 530х7-7,5мм (вода) 56 000 руб за 1тн. Б/н. Трубы б/у 530х8мм (нефть, газ) 61 000 руб за 1тн. Б/н. Цена с доставкой. Оплата по факту поставки. Объем есть.",21,сегодня в 11:10,Частное лицо,Санкт-Петербург
Труба 426х10,62000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_426h10_3187867133,"Труба 426 стенка 9,5-10мм бу, безшовная, без поперечных швов, брали новую, погрузили один раз, длина средняя 9-10, в наличии на складе 2-3 машины. Оплата с ндс.",77,сегодня в 10:57,Частное лицо,Москва
Труба металлическая диаметр 530 остаток,5000,https://www.avito.ru/azov/remont_i_stroitelstvo/truba_metallicheskaya_diametr_530_ostatok_3362708871,Труба металлическая остаток диаметр 530. Длина 1500. Стенка 8мм. Самовывоз. Х. Обуховка.,146,сегодня в 10:44,Частное лицо,"Ростовская область, Азовский р-н, Елизаветинское сельское поселение, хутор Обуховка"
"Труба 530, 720, 820",50000,https://www.avito.ru/sverdlovskaya_oblast_berezovskiy/remont_i_stroitelstvo/truba_530_720_820_1916546914,"Продам трубу б/у 530х8 и 720х9-10, 820х9 цена от 50000₽/тн. Есть и другие диаметры. Продаем от 1м.",369,сегодня в 11:40,Частное лицо,"Свердловская область, Берёзовский г.о., Берёзовский"
