Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
"Труба б/у 219, 273, 325, 377, 630, 820",45,https://www.avito.ru/irkutsk/remont_i_stroitelstvo/truba_bu_219_273_325_377_630_820_3793926665,"Продам трубы б/у отличное состояние. 219*8. 273*8. 325*8. 377*10. 630*10. 820*9. На складе в г. Иркутск, цена за кг. Не можете дозвониться оставляйте контакты перезвоним.",0,сегодня в 09:32,Частное лицо,"Иркутская область, Иркутск"
Труба 1220 бу,49000,https://www.avito.ru/elektrougli/remont_i_stroitelstvo/truba_1220_bu_2050722895,Читаем внимательно! Безнал +20%. Торга Нету! Труба б/у 1020х10-11. Труьа б/у 1220х12 длинна от 10 метров в наличие 200 тонн. Оплата нал/безнал. Есть доставка.,306,сегодня в 09:28,Частное лицо,"Московская область, Богородский г.о., Электроугли"
Труба 820х9,53000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_820h9_1858312172,Продам трубу 820х9 резана по швам длина 11/12 метров в наличие 300 метров. Цена с ндс.,109,сегодня в 09:28,Частное лицо,Москва
Труба 325х8,16000,https://www.avito.ru/severouralsk/remont_i_stroitelstvo/truba_325h8_3237090884,Два куска по два метра. Общая длина 4 метра. Есть огрызок 500 мм — его получилось взвесить-50 кг. Масса погонная 100 кг/м. Общая масса 400 кг.,69,сегодня в 10:58,Частное лицо,"Свердловская область, Североуральский г.о., Североуральск"
Металлопрокат бу,0,https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/metalloprokat_bu_2379761676,"Продам трубу,20,40,57,76,89,102,108,114,159,273,325,377,530,620, а также швеллер, уголок, двухтавр, лист.",6075,сегодня в 11:47,Частное лицо,"Кемеровская область, Новокузнецкий г.о., Новокузнецк"
Трубы Бш 219х6-22 273х8-14 325х8-16 426х7-22,50,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truby_bsh_219h6-22_273h8-14_325h8-16_426h7-22_2393472799,"Новая труба 219х8 8732 09Г2С Пнтз голая 43шт 19.5тн 2021 год прокат. Труба горячекатаная лежалая складские остатки: 168х14 2шт. 219х8 3шт. 325х11 12 тонн. 351х10-14 2.27тн. 377х10 1.6тн. 426х10-12 1.26тн. 426х22 1.25тн. Труба ГОСТ 8732 лежалая — на складе: Труба лежалая ГОСТ 8732 2019-2020: 42х2.8 Оцинковка 1.3тн. 102х4 09Г2С 1.3тн. 159х6-8 7шт 09г2с. 194х6 09Г2С 0.58кг. 219х6-8 09Г2С 2шт. 219х8 09Г2С 2020год 19.2 ТН — 115000 р Ндс. 219х20 09Г2С 3.6тн. 351х10,12,14 3шт 2.25тн. 377х9-10 3шт 1.6тн. 426х9 3 шт — 80 000 р Ндс. 426х10,12 2шт 1.26т. 530х10 ГОСТ 20295 Вмз 1шт. 530х12 17г1с 2 шт 3.56тн. 530х12 ГОСТ 10705 09г2с 2021 г 17 тонн. Труба Реставрация фаски: 146х7-8 Цт 45тонн. 159х7-8 Цт 19 тонн. 159х10 Цт до 60 тонн. 168х7-8 Цт 40 тонн. 168х10-12 Цт 18 тонн. 219х6 Цт 11 тонн. 219х8 Цт 100 тонн. 219х10-12 Цт 7тонн. 219х14-16 Цт. 273х8 Пш 15 тонн. 273х9 Цт 30 тонн. 273х10-14 Цт 40 тонн. 273х12-14 Цт 15 тонн. 325х7-8 Пш 20 тонн. 325х9-10 Цт 20 тонн. 377х9-10 Цт 40 тонн. 426х7-8 Пш 30 тонн. 426х9-10 Цт 60 тонн. 426х10-12 Цт 20 тонн. 530х8 Пш 100 тонн. 530х9 Пш 100 тонн. 530х10 Пш 25 тонн. 530х16 Пш. 630х8-12 Пш 100 тонн. 720х8-12 Пш 100 тонн. 820х9-12 Пш 100 тонн. 1020х10-17 Пш 100 тонн. 1220х12-14-15 Пш 1000 тонн. 1420х16-20 Пш 1000тонн. В наличии много разной новой лежалой, восстановленной б/у трубы от 159 до 1420. Осмотр в Челябинске.",1943,сегодня в 12:24,Частное лицо,"Челябинская область, Челябинск"
Продажа Трубы 168х10-12 Цт,45000,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/prodazha_truby_168h10-12_tst_2457452549,Продаю трубы бу реставрация фаска 168х10-12 Бш 10-15 тонн. Лежит в Челябинске. Продажа Оптовая. Звоните большой выбор трубы от 76 до 1420. Новая/ Лежалая/Реставрация/Б. У. Челябинск.,108,сегодня в 12:36,Частное лицо,"Челябинская область, Челябинск"
Труба 426х10-12 Бесшовная Восстановленная,62000,https://www.avito.ru/kunashak/remont_i_stroitelstvo/truba_426h10-12_besshovnaya_vosstanovlennaya_2585262537,Продам труба. 426х10-12 Бш 15тн. 426х10 Восстановленная 18тн. Восстановленная Челябинск. Осмотр звоните.,267,сегодня в 12:36,Частное лицо,"Челябинская область, Кунашакский р-н, с. Муслюмово"
Труба металлическая 530,10000,https://www.avito.ru/ulan-ude/remont_i_stroitelstvo/truba_metallicheskaya_530_3438170104,"Продам трубу, ширина 53 см наружка, внутр 31.5, длинна 223 см. Толщина 5 мм.",136,сегодня в 12:54,Частное лицо,"Республика Бурятия, Улан-Удэ"
Труба от 57 до 1420 / Балка двутавр,65000,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_ot_57_do_1420_balka_dvutavr_1853672930,"Продам трубы стальные бу, восстановленные, лежалые. Трубы бесшовные и электросварные разных гостов 10705-85, 20295-85, 8732-78. Все из наличия на складе в Челябинске. Доставка. На объем скидки. Все цены указаны с Ндс. Полное складское наличие смотрите в прайсе. Прайс сфотографировали и выложили вторым фото к этому объявлению. 1420х16.8 ТУ 14-3-1938-2000, 12шт, ст.10г2фбю, 81тн, 89 000 руб/тн с Ндс. 1420х18,7 кусок лежалой трубы 2,3м, 1,492тн, 85000 с ндс. 1220х14 кусок лежалой трубы, 3,9м, 1,632тн, 85000 с ндс. 1220х12 ГОСТ 20295-85, ст.17г1с, 4шт, 11,67м, 17тн, 89000 с ндс. 820х20 ГОСТ 20295-85, ст.13г1с-у, 12шт, 52тн, Вмз, 120 000 с ндс. 820x19 ГОСТ, лежалая, 17г1с, 30тн, 115000 с ндс. 820х18 ГОСТ 20295-85, ст.17Г1С-У, 8 труб, 125 000 с ндс. 820х8 пш, восстановленная, 2шт, цена 58000 с ндс. 720х8 п/ш, под лежалую, 18шт, 30тн, 65000 с ндс. 720х8 ГОСТ 10705-85, ст.09г2с, 45тн, 85000 с ндс. 720х8 ГОСТ 10705-85, ст.20, 14.3тн, 98000 с ндс. 2019г. 720х10-11 п/ш, восстановленная, 65000 с ндс, 5 труб. 720х10 ГОСТ 20295-85, К54, Вмз, двух трубка, не рабочая, 500тн, 82000 с ндс. Состояние новой трубы. 720х12 п/ш, восстановленная под лежалую, 8шт, 19тн, 75000 с ндс. 720х20 ТУ 1381-046-05757848-2009, Вмз, К56, ст.09г2фб, 60тн, 115000 с ндс. 720х22 ТУ 1381-046-05757848-2009, Вмз, К50, ст.09г2с, 40тн, 115000 с ндс. 630х8 п/ш, восстановленная, 6шт, 8тн, 69000 с ндс. Нее. Перередел. 630х8 ГОСТ 10706-76, ст.17г1с, Тип.3, 35шт, 48тн, 98000 с ндс. 630х9 ГОСТ 20295-85, ст.20, 1шт — 12м, 1,8тн, новая, 105000 с Ндс. 630х10 ГОСТ 20295-85, ст.17г1с-у, тип.3, 40тн, 98000 с ндс. 630х12 ГОСТ 20295-85, ст.09г2с, 8шт по 12м, 17,6тн, новая, 110000 с Ндс. 630х14 ГОСТ 20295-85, ст.17г1с, новая, 2шт по 12м, 5,1тн, 145 000 с ндс. 530х16 п/ш, восстановленная, 5шт, 10тн, цена 79000 с ндс. 530х12 ГОСТ 10705-85, ст.20, 2023г, 25тн, по 12м, 92000 с ндс. 530х12 ГОСТ 10706-76, ст.17г1с-у, тип.3, 12шт по 12м, 20тн, 96000 с ндс. 530х10 ГОСТ 10705-80, ст.20, 12тн, 82000 с ндс. Трубы короткие по 9,5м. 530х10 ГОСТ 20295-85, ст.17г1С-У, К52 Тип.3, 42тн. Цена 89000 с ндс Н. Новгород и 94000 с ндс Челябинск. 530х9 ГОСТ 10705-85, ст.20, мерная по 12м, новая, 2023г, 60тн, 89000 с ндс. 530х9 ГОСТ 20295-85, ст.17г1с, 20295-85, 60тн, 85000 с ндс. Не рабочая. 530х8 п/ш, под лежалую, 70тн, 79000 с ндс. 530х8 ГОСТ 10705-85, ст.20, 23тн, 86000 с ндс. 530х7 ГОСТ 10705-85, ст.09г2с, 3шт, 3,3тн, 79000 с ндс. 530х7 ГОСТ 10705-80, 35тн, гр. Д, новая, 35тн, 89000 с ндс. 530х6 ГОСТ 10705-80, 25тн, гр. Д, новая, 89000 с ндс. 530х6 п/ш, восстановленная, 12тн, 69000 с ндс. 426х14 ГОСТ 8732-78, ст.20, 1шт, 9.71м, 1,381тн, не рабочая, 95000 с ндс. 426х12 ГОСТ 10705-80, ст.20 и ст.09г2с, 30тн, цена 82000 с ндс. 426х10 ГОСТ 10705-85, ст.20, 10тн, мерная по 12м, 2023г, 84000 с ндс. 426х10 ГОСТ 8732-78, ст.20, 40тн, 125000 с ндс. 426х9 ГОСТ 8732-78, ст.20, 15тн, 125000 с ндс. 426х9 ГОСТ 10705-85, гр. Д, новая, 12,9тн, 82000 с ндс. 426х8 ГОСТ 10705-85, ст.09г2с, 25тн, 82000 с ндс. 426х8 ГОСТ 10705-85, гр. Д, новая, 12,6тн, 82000 с ндс. 426х8 ГОСТ 10705-80, ст.13хфа, 60тн, 86000 с ндс. 377х22 ГОСТ 8732-78, ст.20, 21тн, 125 000 с ндс. 377х10 бесшовная, восстановленная, 10тн, 75000 с ндс. 377х10 ГОСТ 8732-78, 11тн, ст.13хфа, 135 000 с ндс. 377х9 ГОСТ 8732-78, 9,5тн, ст.13хфа, 135 000 с ндс. 325х22 ГОСТ 8732-78, ст.20, 1шт, 1.2тн, 115000 с ндс. 325х20 гост 8732-78, ст.20, 3шт, 3тн, 115 000 с ндс. 325х20 ГОСТ 8732-78, ст.09г2с, 2шт, 3.2тн, 125 000 с ндс. 325х12 ГОСТ 8732-78, ст.45, 21тн, 125 000 с ндс. 325х12 ГОСТ 8732-78, ст.13хфа, 40тн, 135000 с ндс. 325х10 ГОСТ 20295-85, 7тн, ст.13хфа, 75000 с ндс. Снятый град. 325х9 ГОСТ 8732-78, ст.20, 6 труб, 4.5тн, 105000 с ндс. 325х9 ГОСТ 8732-78, ст.20, 40тн, 120 000 с ндс. 325х8 ГОСТ 10705-85 (ТУ 005), ст.20, мерная по 12м, гр. Б, 23тн, 65000 с ндс. 325х8 ГОСТ 8732-78, ст.20, 10тн, 110000 с ндс. 325х8 ГОСТ 8732-78, ст.09г2с, 80тн, 125000 с ндс. 325х7 ГОСТ 10705-80, ст.09г2с, 5тн, 69000 с ндс. 325х7 ГОСТ 10705-85, ст.20, 8тн, 65000 руб/тн с ндс. 273х7 ГОСТ 8732-78, ст.20, 3шт, 1тн, 120 000 с ндс. 273х8 ГОСТ 8732-78, ст.20, 38тн, 75000 с ндс. Восстановленная. 273х9 ГОСТ 8732-78, ст.20, 3тн, 125 000 с ндс. 273х9 ГОСТ 8732-78, ст.20, 40тн, 75000 с ндс. Восстановленная. 273х10 ГОСТ 8732-78, ст.20, 55тн,75000 с ндс. Восстановленная. 273х10 ГОСТ 8732-78, ст.09г2с, 10тн, 135 000 с ндс. 273х12 ГОСТ 8732-78, ст.20, 2тн, 127 000 с ндс. 219х6 ГОСТ 8732-78, ст.20, 80тн, 165000 с ндс. 219х6 ГОСТ 8732-78, ст.20, 20тн, 20тн, 145000 с ндс. Лежалая. 219х8 ГОСТ 8732-78, ст.09г2с, 6,780тн, 129000 с ндс. 219х8 ГОСТ 10705-80 ( ТУ по Сорт.2), ст.20, по 12м, 20тн, новая, 64000 с ндс. 219х10 ГОСТ 8732-78, ст.20, 2тн, 127 000 с ндс. 219х12 б/ш, восстановленная, 20тн, 64000 с ндс. 159х6 бесшовная, восстановленная, 140тн, 89000 с ндс. 159х6 ГОСТ 8732-78, ст.20, 9,550тн, 137000 с ндс. 159х6 ГОСТ 8732-78, ст.09г2с, 20тн, 155000 с ндс. 159х5 ГОСТ 8732-78, ст.20, 4.644тн, 2023г, 137 000 с ндс. 159х8 ГОСТ 8732-78, ст.20, 3.306тн, 2023г, 125 000 с ндс. 168х7-8 ГОСТ 8732-78, восстановленная, 55тн, 65000 с ндс. 168х10 ГОСТ 8732-78, ст.20, 6тн, 125 000 с ндс. 114х5 ГОСТ 8732-78, ст.09г2с, 10тн, 137 000 с ндс. 114х5 ГОСТ 8732-78, ст.20, 3,220тн, 127 000 с ндс. 89х5 ГОСТ 8732-78, ст.20, 1,5тн, 125000 с ндс. 57х5 ГОСТ 8732-78, ст.09г2с, 0,950 тн, 165 000 с ндс. Балка двутавровая лежалая горячекатанная: Двутавр 25Ш1 (с345) 156м/6.8тн/13шт, 81 800 с Ндс. Двутавр 25Ш1 (с245) 60м/2.6тн/5шт, 76 000 с Ндс. Двутавр 30Ш2 (с355) 1632м/112тн/136шт, 72 000 с Ндс. Двутавр 35Б1 (c255) 12м/0,51тн/1шт, 61 000 с Ндс. Двутавр 35Б2 (c255) 12м/0,597тн/1шт, 66 000 с Ндс. Двутавр 35Ш2 (с345) 120м/9.6тн/10шт, 79 000,00 с Ндс. Двутавр 36М (с345) 42м/3,582тн/3шт+1шт 6м, 114 000 с Ндс. Двутавр 36М (с255) 11м/0,657/1шт, 105 000 с Ндс. Двутавр 40К2 (c245) 108м/18тн/9шт, 92 000 с Ндс. Двутавр 40ш2 (с245) 96м/10,2тн/8шт, 75 000 с Ндс. Двутавр 40К5 (c355) — сварн. 24м/6,9тн/2шт, 94 000 с Ндс. Двутавр 45Б2 (с255) 4,83+3,6/0,641тн/1шт, 65 000 с Ндс. Двутавр 45Ш1 (с345) 144м/17,7тн/12шт, 85 000 с Ндс. Двутавр 50ш2 (с245) 204м/28,3тн/17шт, 83 700 с Ндс. Двутавр 70Ш1 (с255) 4,69м/0,774тн/1шт, 66 000 с Ндс. Двутавр 70Ш3 (с255) 11м/2,5тн/1шт, 69 800 с Ндс. Двутавр 80Б1(с355) -сварн. 79,62м/12,5тн/6шт+7,62м, 82 000 с Ндс. Двутавр 70ш2 (с345) 59,5м/11,33тн/5шт, 82 000 с Ндс. Двутавр 18Б2 (с255) 587м/11,05тн/48шт, 95 000 с Ндс. Двутавр 60Ш2 (с255) 84м/14,34тн/7шт, 82 000 с Ндс. Двутавр 40К2 (с255) 8,6м/1,48тн/1шт, 80 000 с Ндс. Двутавр 16Б1 (с245) 250м/3,18тн/20шт, 96 000 с Ндс. Двутавр 40Ш2 (с245) 55,7м/5,95тн/4шт+0,64м, 75 000 с Ндс. Двутавр 60Ш1 (с345) 24м/3,29тн/2шт, 87 000 с Ндс. Двутавр 40К1 (с345) 24м/3,53тн/2шт, 92 000 с Ндс. Двутавр 45М (с255) 36м/2,81тн/3шт, 115 000 с Ндс.",14841,сегодня в 13:09,Частное лицо,"Челябинская область, Челябинск"
"Труба сталь Д 159, 219, 325 мм б/у",800,https://www.avito.ru/afipskiy/remont_i_stroitelstvo/truba_stal_d_159_219_325_mm_bu_659226809,"Труба стальная 219х6-8 мм бу разной длины-около 130м по цене от 1400₽/м; Труба стальная 325х6-9мм-88 м по цене от 2500₽/м. Труба 159х4 отрезки около 1 м по цене 800₽/м. Отводы, тройники, фланцы, переходы разных диаметров-б/у и новые.",6151,сегодня в 13:19,Частное лицо,"Краснодарский край, Северский р-н, пос. городского типа Афипский"
"Трубы бу , труб на поилки",32,https://www.avito.ru/chernogorsk/remont_i_stroitelstvo/truby_bu_trub_na_poilki_3370622179,"Продам бу трубы 219,325,273 350,530,630,720,820 Черногорск от32 руб без ндс.",1119,сегодня в 13:18,Частное лицо,"Республика Хакасия, Черногорск"
Трубы стальные 325-1220,30,https://www.avito.ru/kemerovo/remont_i_stroitelstvo/truby_stalnye_325-1220_3018338839,"Труба металлическая 1220, 800, 325. Труба 800- вес 172кг длина 1,10м толщина 8 мм. Труба 325- вес 211кг длина 3,35м. Толщина 8 мм. Труба 1220- вес 520кг длина 1,45м толщина 12мм. Труба 1220- вес 1327кг длина 3,70м толщина 12мм. С Доставкой можем помочь.",1322,сегодня в 15:23,Частное лицо,"Кемеровская область, Кемеровский г.о., Кемерово"
"Продам трубу 219,273,325,426,530,630,720,1020",1,https://www.avito.ru/abakan/remont_i_stroitelstvo/prodam_trubu_2192733254265306307201020_1745986475,"Продам трубу б/у диаметр 820, стенка 8мм, большое количество трубы. Так же есть 426 труба, 219, 273, 325, 630, 720,820, 1020 Отправка по всей России. Звоните уточняйте наличие! Так же куплю вашу трубу, любой объём!",3086,сегодня в 15:18,Частное лицо,"Республика Хакасия, Абакан"
Труба 426 бу 4 шт,3000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_426_bu_4_sht_3034273790,Все вопросы по телефону. Цена за 1 п. М.,1334,сегодня в 15:18,Частное лицо,"Москва, Новомосковский административный округ, поселение Внуковское, д. Рассказовка"
Труба бу 530 мм,4780,https://www.avito.ru/lyubertsy/remont_i_stroitelstvo/truba_bu_530_mm_3635461483,Б/у трубы 530х8 мм. В наличии на нашем складе. Доставим на ваш объект собственным транспортом.,0,сегодня в 14:59,Частное лицо,"Московская область, Люберцы"
Труба вентиляционная кровельная D160,7500,https://www.avito.ru/nizhniy_tagil/remont_i_stroitelstvo/truba_ventilyatsionnaya_krovelnaya_d160_3430850102,"Не пригодились 2 комплекта в использовании. Не были. В магазине комплект стоит 8200. Мооу продать по одному комплекту. В комплект входит: 1. Вент. Выход изолированный утеплённый D125/160 цвет коричневый. 2. Проход кровельный с уплотнителем Skat монтеррей. 3. Колпак D160 коричневый. Приобретал ось в технониколь. Отправлю авито доставкой, могу привезти по городу. Возможен небольшой торг.",54,сегодня в 14:50,Частное лицо,"Свердловская область, Нижний Тагил"
Трубы бу,85,https://www.avito.ru/schelkovo/remont_i_stroitelstvo/truby_bu_3576346437,Трубы большого диаметра. Режем куски. Цена от 85р 1кг. Диаметры 426 530 630 720 820 920 1020 1120 1220.,3,сегодня в 14:47,Частное лицо,"Московская область, Щёлково"
Трубы б/у 57-76-89-108-113,280,https://www.avito.ru/syzran/remont_i_stroitelstvo/truby_bu_57-76-89-108-113_2166644028,"Трубы новые и бу. Разного диаметра и длиной. Размеры и цены уточняйте. Кровельные листы бу. Швеллер разного размера. Труба 530,57,76,83,89.25( новая), 100 много, 159. Труба 57 по 3м, 2.5м. Много. Обрезки трубы 57-60 мм длиной до 1.5м очень много (недорого), толстостенная 76,89, Труба 48 бу и новая. Обрезки уголка. Фланец-210*108-11шт.195*90-6шт. 176*76-1шт.145*46-5шт. Тройник. 89. Фланцевая заглушка195/76-11шт,215/90-4шт. Переход 57/76-3шт,76/89-2шт,89/133-4шт,44/57-1шт. Отводы-76,57. Трубные заглушки 89-1шт,108-4шт,133-1шт. Возможен обмен: пеноблоки, арматура, цемент, брус, возможно др.",22783,сегодня в 14:02,Частное лицо,3-я Сормовская ул.
Трубы бу лежалые,100,https://www.avito.ru/schelkovo/remont_i_stroitelstvo/truby_bu_lezhalye_3191919484,Трубы бу лежалые отрежем. Большие диаметры и маленькие. Для печей котлов подказанников. Цены договорные. 20 25 32 40 42 48 57 76 89 102 108 114 133 159 219 273 325 377 426 478 530 630 720 820 920 1020 1120 1220.,4822,сегодня в 13:57,Частное лицо,"Заречная ул., 138Б"
Трубы металлические б/у 720,45,https://www.avito.ru/kansk/remont_i_stroitelstvo/truby_metallicheskie_bu_720_3641760149,"Труба резервная нитка конализация, хорошем состояние. 720 стенка 12 по 11 метров. Находиться в Канске возможна доставка в любой регион.",0,сегодня в 16:08,Частное лицо,"Красноярский край, Канск"
Труба металлическая 325,13850,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_metallicheskaya_325_3291529074,"Труба металлическая 325мм, стенка 6мм. Длина 5,87 метра. Масса трубы 277 кг. Цена за килограмм 50р. Продаю целиком. Цена 13850.",90,сегодня в 15:56,Частное лицо,"Челябинская область, Челябинск"
Труба,5000,https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/truba_3504683498,"Продам два куска трубы ди 620 мм, дл 720мм, за один.",0,сегодня в 15:39,Частное лицо,"Кемеровская область, Новокузнецкий г.о., Новокузнецк"
Труба бу 1020мм,25000,https://www.avito.ru/tulskaya_oblast_dubna/remont_i_stroitelstvo/truba_bu_1020mm_3474858707,2 куска по 6 метров.,30,сегодня в 16:54,Частное лицо,"Тульская область, Дубенский р-н, муниципальное образование Воскресенское, с. Воскресенское"
Труба бу 530,36,https://www.avito.ru/stavropol/remont_i_stroitelstvo/truba_bu_530_2473125509,"Трубы 530,273,219 спираль.",2589,сегодня в 17:03,Частное лицо,"Ставропольский край, Ставрополь"
Труба металлическая 426,25000,https://www.avito.ru/saransk/remont_i_stroitelstvo/truba_metallicheskaya_426_3417313388,"Труба, длинна 6.2 вес 520кдиаметр.",110,сегодня в 17:14,Частное лицо,"Республика Мордовия, Саранск"
Труба б у 630,40,https://www.avito.ru/borisoglebsk/remont_i_stroitelstvo/truba_b_u_630_3309580032,Труба мало б у в хорошем состоянии. Толщина 8 и 9 мм. Диаметр 630. Длинна от2 м до6 м.,242,сегодня в 17:27,Частное лицо,"Воронежская область, Борисоглебский г.о., с. Чигорак"
Трубы бу/восстановленные от 114 до 1420,50000,https://www.avito.ru/surgut/remont_i_stroitelstvo/truby_buvosstanovlennye_ot_114_do_1420_3508065617,"Трубы: 114х4. 159х6 Б/У — 610 метров. 159х8-10. 219х6-8. 325х8-9 — 11 тонн. 426х7. 426х8. 530х8. 530х9 — 11,75 метров. 720х8-12. 820х8-10. 1020х10-16. 1220х12-15. 1420х16,7-20 — 3 штуки. В наличии и под заказ в Сургуте.",178,сегодня в 13:48,Частное лицо,"Тюменская область, Сургут"
Труба стальная 426 бу,4860,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_stalnaya_426_bu_3634689696,Трубы б/у 426х9 мм. В наличии на нашем складе. Доставим на ваш объект собственным транспортом.,6,сегодня в 13:44,Частное лицо,Москва
Труба 530х8 бу,60000,https://www.avito.ru/tomilino/remont_i_stroitelstvo/truba_530h8_bu_3906161295,В наличие труба 530х8 б/у от 8 до 11 м. Склад Москва на остатке 40 тонн.,0,сегодня в 13:42,Частное лицо,"Московская область, г.о. Люберцы, рабочий пос. Томилино"
Труба 530 (7),0,https://www.avito.ru/kemerovo/remont_i_stroitelstvo/truba_530_7_2187880145,"Труба 530 восстановленная состояние хорошее. Трубы новые и б у в наличии разных диаметров, швеллер уголок балка лист 5 мм 8 мм 10 мм 16 мм 18 мм.",844,сегодня в 13:24,Частное лицо,"Кемеровская область, Кемеровский г.о., Кемерово"
Труба бу 720,5920,https://www.avito.ru/podolsk/remont_i_stroitelstvo/truba_bu_720_3634796484,Трубы б/у 720х8 мм. В наличии на нашем складе. Доставким на ваш объект собственным транспортом.,0,сегодня в 18:17,Частное лицо,"Московская область, Подольск"
Труба 630 кусок,3000,https://www.avito.ru/kirovskaya_oblast_kirov/remont_i_stroitelstvo/truba_630_kusok_3389399343,"Кусок 630 трубы, высота 690 мм, стенка 8 мм, под печь или ёмкость.",142,сегодня в 19:28,Частное лицо,"Кировская область, Киров"
"Трубы металлические, в ппу оплетке, пластиковые",500,https://www.avito.ru/kstovo/remont_i_stroitelstvo/truby_metallicheskie_v_ppu_opletke_plastikovye_3298874003,"Труба металическая. Б/у. Диаметр различный. Цена за кг. Артикул: Тр540. Трубы б/у металические, в Ппу оплетке и пластиковые в ассортименте. Разный диаметр и длинны, соответсвенно цена также отличается. Можем обсудить вашу цену, если она адекватная. Если забираете большой объем обязательно сделаем скидку! Трубы металлические купить, трубы пластиковые, трубы Ппу, труба металическая б/у купить, трубы, труба 530 диматетра, труба купить, трубы.",219,сегодня в 21:27,Частное лицо,"Нижегородская область, Кстовский муниципальный округ, Кстово"
Стройматериалы бу труба,80000,https://www.avito.ru/dinskaya/remont_i_stroitelstvo/stroymaterialy_bu_truba_3150820908,"Продаётся труба 1020 толщина 12 мм восстановленная полный цикл в наличии четыре штуки. Вес одной трубы 3,5 т. 80 000 за тонну. На фото именно они.",35,сегодня в 21:22,Частное лицо,"Краснодарский край, Динской р-н, станица Динская"
Труба металлическая стальная б/у,35,https://www.avito.ru/perm/remont_i_stroitelstvo/truba_metallicheskaya_stalnaya_bu_2312613268,"Продам трубу бу разных диаметров 1020 и 1220 длина разная, стенка разная, разное состояние, под дорогу, под восстановление, по наличию уточняйте по телефону или в сообщениях.",3766,сегодня в 04:33,Частное лицо,"Пермский край, Пермь"
Труба бу 325,12000,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_bu_325_3549061236,"Остаток трубы длиной 4,45м. Возможна доставка.",9,сегодня в 04:20,Частное лицо,"Краснодарский край, Краснодар"
Труба лежалая 1020-720-300-273,40000,https://www.avito.ru/staryy_oskol/remont_i_stroitelstvo/truba_lezhalaya_1020-720-300-273_3455701692,"Прoдaм лeжак и бу труба. Труба пш1020х12лежaк. 11.8. Тpуба короткая бу 720. 720х9-4.73м. Сoстoяниe xopошее. Цена 45p бeз ндc. Предложите свою цену. Фото и ценa запpоcу, Пpодаю трубу чугунную ф300х11- 25тн. Длина cтaндаpт 5.6 метрoв. Пpодаeтcя Каk Издeлие, С запросaми o покупке по ценe лoма пpосьбa не бeспокоить.",2,сегодня в 04:10,Частное лицо,"Белгородская область, Старооскольский г.о., Старый Оскол"
Трубы металлические бу,45000,https://www.avito.ru/arhonskaya/remont_i_stroitelstvo/truby_metallicheskie_bu_3368556242,Трубы металические бу 325мм.,3,сегодня в 03:56,Частное лицо,"Республика Северная Осетия — Пригородный р-н, станица Архонская"
"Труба стальная бу бесшовка 426*9,10,11",53000,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_stalnaya_bu_besshovka_42691011_3049604367,"Продажа труба стальная бесшовка 426*9,10,11_ 20тн. На Краснодаре оптом-20тн по 53тр. Доставка обработка.",44,сегодня в 02:39,Частное лицо,"Краснодарский край, муниципальное образование Краснодар, пос. Берёзовый"
Труба бу 530*6-7-8-9,45000,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_bu_5306-7-8-9_3145164832,"Продажа. — Труба стальная 530*6-7-8_64шт длины 11-11,7мп прямошовка, спираль бесшовная, — От 45000руб Безнал. — С доставкой в Краснодар. — Обработка изоляция доставка.",7,сегодня в 02:39,Частное лицо,"Краснодарский край, муниципальное образование Краснодар, пос. Берёзовый"
Труба бу 1220х15 стальная,49000,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_bu_1220h15_stalnaya_3145299996,"— Продажа. — Труба стальная 1220*15_2шт, длины обработанная. — по 49000р. — В наличии Краснодар. — Резка доставка.",13,сегодня в 02:39,Частное лицо,"Краснодарский край, муниципальное образование Краснодар, пос. Берёзовый"
Труба бу 820*10 стальная,38000,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_bu_82010_stalnaya_3145459721,"Продажа. — Труба стальная 820*11_36шт длины 11-11,7мп. — По 38000р. — В наличии Краснодар. — Доставка обработка.",84,сегодня в 02:39,Частное лицо,"Краснодарский край, муниципальное образование Краснодар, пос. Берёзовый"
Трубы металлические бу,1,https://www.avito.ru/balakirevo/remont_i_stroitelstvo/truby_metallicheskie_bu_2172065538,"Продаю трубы, стальные б/у диаметр 710 мм, толщина 9-10мм. Длина 4 и 3 метра. Цена 5000 р. За метр. Трубы стальные б/у диаметр 530 мм. Длина 4 и 3 метра, толщина 7мм. Цена 4000 р за метр.",3234,сегодня в 02:04,Частное лицо,"Владимирская область, Балакирево"
